month_end,Stock1,Stock10,Stock11,Stock14,Stock16,Stock18,Stock19,Stock20,Stock21,Stock22,Stock26,Stock3,Stock30,Stock31,Stock33,Stock34,Stock35,Stock38,Stock39,Stock4,Stock40,Stock41,Stock43,Stock44,Stock46,Stock47,Stock49,Stock5,Stock50,Stock54,Stock56,Stock59,Stock6,Stock61,Stock63,Stock64,Stock66,Stock69,Stock7,Stock70,Stock73,Stock75,Stock76,Stock77,Stock78,Stock79,Stock80,Stock81,Stock84,Stock85,Stock86,Stock87,Stock88,Stock9
9/30/2017,0.083899423,0.05331925,0.049182007,-0.099562395,-0.114310012,-0.055291133,-0.037530839,-0.006674497,-0.057660753,0.00281535,-0.216215671,-0.012858118,0.005714974,0.031447298,-0.070213433,-0.046007321,0.064128531,-0.063028464,-0.010800069,-0.063648581,-0.033116031,-0.050654198,-0.038823736,0.023725993,0.04718933,-0.045019653,-0.067795788,-0.077185706,-0.22885715,-0.073197796,-0.034149337,-0.007595021,-0.122808664,-0.076303706,0.06202872,0.048199823,0.007017217,-0.033739644,-0.068151931,-0.066562313,0.040164841,-0.048051271,-0.021276067,-0.01165153,-0.066003217,-0.031051654,-0.004496883,-0.055256395,-0.031515775,0.023068406,0.031267975,-0.112615221,-0.011306597,0.022962576
10/31/2017,0.060535524,0.028675878,0.029625037,0.029335418,-0.00184091,-0.10676275,-0.012945184,-0.026603073,0.044929208,-0.007485915,-0.131036193,0.045798539,0.008644213,0.234062499,-0.011216241,0.100193573,0.058309993,0.010976503,-0.015920526,0.022923765,0.023800338,0.023289168,0.170204209,-0.043064881,0.062152203,0.022987611,0.056817558,-0.040426427,0.265163894,0.121228687,0.115011932,-0.015304192,0.083572873,0.382611352,0.002529811,0.0751165,0.036131719,0.039223427,-0.021895461,0.01713528,-0.059109453,-0.024467377,0.140582561,-0.004310085,0.048951848,0.070756525,0.17979526,0.042174124,0.008200507,-0.006719926,0.09356137,-0.046792458,0.215918132,-0.01855106
11/30/2017,-0.102193228,0.027349225,-0.128125067,0.073356028,0.166051772,-0.041407699,0.052943865,0.186932205,0.1069274,-0.001805374,1.47E-07,-0.096023156,0.019991422,0.19588269,-0.126845041,0.047828595,0.038911012,0.099514164,-0.014514445,0.081526768,0.095680966,0.115399303,0.025597377,0.031005499,-0.043669829,-0.083861253,-0.037635719,0.048670614,-0.005607303,0.110361549,0.039474736,-0.017617492,0.068084727,-0.166668104,0.094427761,-0.037317926,0.049816314,0.054877342,0.125963677,0.042578806,0.029279569,0.061837678,-0.074611951,0.140897869,0.123913788,0.156616398,0.070451873,0.014745144,0.125874746,0.115800017,-0.046361319,-0.030273829,-0.026521461,0.018900831
12/31/2017,-0.045035627,-0.080069999,-0.131899087,0.098228296,0.248923273,-0.029056103,0.056703427,0.192132579,0.111679497,0.05731182,-0.206350744,0.117776224,0.106399108,0.165547497,-0.098074001,0.114914834,0.033076692,0.193432303,-0.034644934,0.101878532,-0.099301755,0.107220973,0.102142054,-0.070289197,-0.091653732,-0.917348244,-0.09385598,0.243011057,-0.16820489,-0.068708037,-0.004233504,-0.032833702,0.045817739,-0.26981165,0.04463971,-0.044875655,0.001186507,0.130981723,-0.029230652,-0.100318706,0.126034606,0.180580009,-0.029329767,0.094884352,0.129261767,0.034759466,-0.064190165,0.102803592,0.153443279,0.139685323,0.011155379,0.00427364,0.111533547,0.075942096
1/31/2018,0.026664555,-0.025548063,-0.0090822,-0.018691188,-0.001264669,0.071278873,-0.038067466,0.167966698,0.0137945,0.011216136,-0.030000264,0.058975088,0.003614395,-0.052780953,-0.073452737,-0.270829928,-0.229953553,-0.011153073,0.03555434,0.018083437,0.023947851,0.03088659,-0.119323267,-0.059334684,-0.024505039,0.470970524,-0.059800727,-0.008242017,0.120528935,-0.177778574,-0.002520785,0.038992078,0.079524331,-0.049096439,-0.044570149,-0.018687842,-0.287202508,0.025553171,0.115560428,-0.12208193,-0.017456251,0.037369988,0.004355896,0.008214355,-0.092203201,0.075165964,-0.019854428,0.001059663,-0.010386997,0.146271695,0.133166122,0.122322485,-0.046484621,-0.049568748
2/28/2018,-0.086812912,-0.102519524,-0.070001227,0.064458232,0.108241538,0.003876447,-0.022067685,-0.01126001,0.034576524,0.048059266,-0.226801641,-0.021111807,0.062676434,-0.024281587,0.161915851,0.039797481,-0.403568721,0.11128086,0.103216251,-0.07466345,-0.178587533,0.089202575,0.012997008,-0.099823432,-0.002215734,-0.152048059,0.040656109,0.177688009,-0.171938478,-0.020273022,-0.024235625,0.106475733,-0.037051042,-0.18478246,-0.010536475,-0.131756608,-0.468085141,0.085466783,0.053534305,0.185742156,0.018388363,0.033469862,0.030394167,0.06633955,0.058810329,0.054807378,-0.032954996,0.022220636,0.10216488,-0.099522933,0.009803069,-0.004587594,-0.046718013,-0.097506426
3/31/2018,0.018614781,-0.005221937,0.236558658,-0.056701274,0.043124583,0.022994406,-0.038504809,0.007850117,-0.065203371,0.022045898,-0.333334985,0.098038384,-0.003786029,-0.154953101,-0.195094463,0.045382932,-0.246534401,-0.077075212,-0.099707828,-0.127948484,0.046975599,-0.007024127,-0.176935351,0.058445962,-0.039390823,-0.431034382,-0.04221659,0.010314031,-0.217941416,0.034804048,-0.020408024,-0.104564026,0.006870724,-0.116667863,0.077253874,-0.002391801,-0.211409998,0.003996303,-0.020651296,0.190939262,-0.065468877,0.089423624,-0.105685349,-0.073375822,-0.040974189,-0.067236125,-0.115917031,-0.08074492,-0.044333032,0.006985483,-0.034428802,-0.059476905,-0.168987902,0.049374554
4/30/2018,0.113944831,0.048555564,0.128260191,0.173475084,-0.039107046,0.073290366,0.052262108,-0.038631816,-0.036730304,0.033653101,-0.029999995,0.106784831,0.024286756,-0.051261786,0.199444683,0.032952987,0.354998898,0.000896247,0.067079766,0.045699512,-0.001511987,0.067095034,0.057994087,-0.02313163,0.037422721,-0.418181292,-0.085526756,0.025247629,-0.050976529,-0.000308151,0.110956024,0.078140629,0.012281491,0.116983386,0.173356897,-0.013409915,0.462187281,0.003983676,-0.014172249,-0.082831983,0.070836644,-0.046778671,0.03805471,0.043888416,0.016130325,0.018547196,0.057955637,0.021114563,-0.002945183,0.093840116,0.07206259,0.018945502,0.036249112,0.080676562
5/31/2018,-0.019095331,0.041679126,0.167627102,-0.065024611,-0.143069625,-0.087645929,-0.085755464,-0.083907397,-0.039893743,-0.044532321,-0.536083471,-0.044529379,-0.06529156,0.080548523,-0.156811989,-0.016510861,-0.059713388,-0.103943104,-0.064383493,-0.136503909,-0.038897624,-0.080243069,0.126234513,-0.036057008,-0.071218644,-0.416667021,0.094244989,-0.289482938,-0.093107125,-0.019593902,0.021275048,-0.0634417,-0.15955247,-0.239865855,-0.054708673,-0.056385922,-0.149425189,-0.032289427,-0.059960536,-0.180230481,-0.091986371,-0.179707169,-0.00101261,-0.088439941,-0.110244083,-0.213668328,-0.010929885,-0.092164789,-0.116453117,-0.175947439,0.021338295,-0.079949349,0.072954965,-0.032405119
6/30/2018,-0.0026571,0.099363066,-0.036856766,0.01468148,-0.055579811,-0.008084603,-0.057641992,-0.082033347,-0.078630464,-0.043755029,-0.279756975,-0.06720573,-0.018751808,0.015819548,0.1662566,-0.007364335,-0.01592057,0.06483408,0.042656781,-0.00149057,0.038338743,-0.08779362,0.002793747,0.088977193,0.032877007,0.151786733,0.030900504,-0.054147854,-0.000494679,-0.007254025,0.099148362,0.04630255,-0.055078465,-0.057777805,-0.021858849,0.081166456,0.016890573,-0.074877816,-0.057503381,0.003309493,-0.049535633,-0.081231168,0.068485227,-0.024101814,-0.043138788,-0.014069368,0.151684049,0.001422163,-0.010456158,-0.02470278,0.01626377,-0.115854229,-0.006921315,-0.078947362
7/31/2018,-0.009889066,0.025686137,0.031980662,-0.003878728,0.015633509,0.027530066,0.061166187,0.039248823,0.089483495,0.013347225,-0.357142791,-0.005447403,-0.020231928,-0.013739238,0.009863615,0.096233663,-0.080887729,0.084208781,0.014954748,0.056126095,0.025329531,0.093274626,0.030233309,-0.023576817,-0.012471943,0.930232353,-0.041456454,0.054918909,-0.037531699,0.077705629,0.030505856,0.002708023,-0.037915686,0.509432428,-0.016637759,0.049151942,-0.029235873,0.062437371,-0.013282054,0.026391668,-0.077365023,0.05967484,0.126740873,0.033222055,0.152540101,-0.02236087,-0.069726126,0.063045452,0.074378042,-0.049288621,-0.031419514,0.142196391,0.040514469,0.007140984
8/31/2018,0.133475284,0.069684972,-0.141673548,-0.026714124,0.013880274,-0.001984253,-0.210122724,-0.041677814,0.039297323,-0.026342305,-0.444444255,0.085428835,-0.027151774,-0.037876795,-0.132092156,0.053828563,0.102320862,0.020645352,0.010930477,-0.182084175,0.025574082,0.018764842,0.149420442,-0.25062463,0.142823571,0.124496256,0.048567886,-0.059364772,-0.081578408,-0.034163168,0.111543254,0.01329798,0.008822825,0.006248862,0.050400849,-0.018723422,0.081449532,-0.085898248,-0.062843952,0.09825583,0.059812197,0.051063001,0.072507479,0.070046925,0.030644022,-0.014194338,0.007330963,-0.012707421,-0.054338092,0.153228889,0.021818894,-0.098823507,0.109318727,0.06318346
